annotation,type,start,end
14764,Insult,363,369
14766,Profane/Obscene,4,34
14767,Insult,30,34
14768,Insult,20,23
14771,Other Toxicity,90,164
14774,Insult,8,14
14775,Other Toxicity,0,7
14776,Other Toxicity,0,7
14778,Insult,192,198
14779,Insult,192,198
14781,Insult,38,46
14783,Insult,32,59
14784,Other Toxicity,32,59
14785,Insult,48,59
14786,Insult,92,100
14788,Profane/Obscene,92,100
14788,Insult,216,220
14789,Other Toxicity,7,50
14790,Insult,228,282
14790,Insult,228,282
14791,Insult,249,256
14792,Insult,11,34
14792,Insult,108,118
14794,Insult,11,15
14794,Insult,108,118
14795,Insult,37,44
14797,Other Toxicity,105,113
14798,Other Toxicity,545,557
14800,Insult,545,566
14802,Insult,5,19
14805,Other Toxicity,44,51
14805,Insult,44,51
14806,Insult,44,51
14808,Identity based Attack,179,190
14809,Insult,68,82
14810,Profane/Obscene,31,35
14811,Insult,131,139
14813,Insult,321,326
14814,Insult,9,32
14815,Profane/Obscene,8,15
14815,Profane/Obscene,128,136
14815,Profane/Obscene,313,320
14815,Insult,321,326
14817,Insult,51,89
14818,Insult,60,68
14821,Insult,97,103
14823,Insult,16,21
14824,Profane/Obscene,0,21
14825,Insult,21,25
14826,Threat,13,25
14828,Insult,79,84
14829,Insult,79,84
14830,Profane/Obscene,79,84
14832,Insult,41,49
14833,Insult,41,49
14834,Insult,0,6
14837,Insult,43,48
14838,Insult,103,109
14841,Insult,273,278
14841,Insult,333,345
14841,Insult,350,362
14841,Insult,374,379
14844,Insult,92,97
14845,Insult,92,97
14846,Insult,352,362
14847,Insult,352,362
14848,Insult,343,362
14849,Profane/Obscene,127,132
14850,Other Toxicity,99,105
14850,Other Toxicity,73,79
14850,Other Toxicity,127,132
14851,Profane/Obscene,21,141
14852,Insult,19,29
14854,Other Toxicity,19,29
14856,Insult,61,66
14856,Insult,157,165
14856,Profane/Obscene,753,757
14857,Insult,61,66
14857,Threat,695,727
14858,Insult,75,92
14859,Insult,75,92
14864,Insult,4,10
14865,Insult,4,10
14866,Identity based Attack,0,10
14867,Insult,127,132
14868,Insult,127,132
14869,Insult,127,132
14872,Insult,0,35
14874,Insult,17,23
14875,Threat,35,41
14876,Insult,730,737
14878,Insult,730,737
14880,Insult,91,99
14881,Insult,91,95
14881,Insult,100,109
14882,Insult,46,53
14883,Insult,46,53
14884,Insult,38,53
14886,Insult,932,939
14886,Insult,172,177
14890,Insult,0,5
14893,Insult,25,29
14894,Profane/Obscene,9,13
14895,Other Toxicity,101,109
14896,Identity based Attack,14,18
14898,Profane/Obscene,54,58
14899,Insult,54,58
14900,Insult,15,25
14900,Profane/Obscene,202,205
14901,Insult,15,25
14901,Insult,202,205
14902,Insult,15,25
14903,Insult,16,20
14904,Insult,16,20
14904,Insult,22,27
14904,Insult,29,41
14904,Insult,43,52
14904,Insult,54,58
14904,Insult,60,64
14904,Insult,66,73
14904,Insult,75,85
14904,Insult,87,97
14905,Insult,16,20
14905,Insult,22,27
14905,Insult,29,41
14905,Insult,43,52
14905,Insult,54,58
14905,Insult,60,64
14905,Insult,66,73
14905,Insult,75,85
14905,Insult,87,121
14909,Insult,60,69
14910,Insult,36,41
14910,Insult,60,69
14911,Insult,27,41
14912,Insult,57,63
14912,Insult,14,19
14913,Insult,57,63
14914,Insult,14,19
14914,Insult,57,63
14915,Insult,0,6
14915,Insult,14,20
14916,Insult,0,32
14917,Insult,0,32
14918,Insult,73,112
14918,Threat,132,199
14919,Insult,172,176
14923,Insult,20,27
14924,Profane/Obscene,653,759
14927,Threat,47,52
14928,Insult,0,52
14929,Insult,47,52
14932,Insult,348,357
14932,Insult,312,318
14935,Insult,100,106
14936,Identity based Attack,45,54
14936,Insult,0,6
14937,Insult,66,71
14938,Insult,40,71
14939,Insult,383,389
14941,Insult,383,389
14942,Insult,45,51
14943,Insult,45,51
14944,Insult,35,51
14945,Threat,492,499
14947,Insult,544,563
14947,Identity based Attack,0,534
14948,Insult,73,79
14949,Insult,60,79
14950,Insult,73,79
14951,Profane/Obscene,29,35
14952,Threat,29,35
14953,Identity based Attack,29,35
14954,Insult,0,8
14956,Insult,0,8
14956,Insult,23,31
14957,Insult,59,72
14958,Insult,21,25
14958,Insult,30,35
14959,Insult,59,64
14961,Insult,126,135
14961,Insult,308,314
14961,Insult,315,322
14961,Identity based Attack,372,380
14962,Other Toxicity,90,97
14962,Insult,308,314
14962,Profane/Obscene,315,322
14967,Insult,5,10
14968,Insult,5,10
14969,Insult,23,34
14971,Insult,120,126
14972,Identity based Attack,32,44
14973,Identity based Attack,267,274
14974,Insult,32,44
14974,Insult,45,54
14974,Insult,453,459
14976,Insult,22,27
14976,Insult,99,104
14977,Insult,22,27
14978,Insult,49,59
14980,Identity based Attack,42,89
14981,Insult,0,58
14982,Insult,37,58
14983,Identity based Attack,37,58
14984,Insult,68,74
14985,Other Toxicity,68,74
14986,Insult,68,74
14987,Insult,69,74
14988,Insult,69,74
14989,Insult,69,74
14991,Threat,0,443
14992,Insu,473,475
14992,Insu,322,326
14993,Insult,30,36
14994,Insult,30,36
14995,Insult,24,36
14996,Insult,38,51
14997,Insult,38,51
14998,Insult,38,51
15001,Insult,15,23
15002,Profane/Obscene,195,215
15005,Insult,0,6
15006,Insult,0,6
15007,Insult,0,6
15008,Insult,19,24
15009,Insult,19,24
15010,Insult,19,24
15011,Insult,98,104
15012,Insult,98,104
15012,Insult,18,21
15013,Insult,98,104
15014,Insult,207,212
15015,Insult,60,65
15018,Insult,89,96
15019,Profane/Obscene,82,96
15019,Profane/Obscene,141,150
15020,Profane/Obscene,19,28
15021,Profane/Obscene,23,28
15022,Profane/Obscene,23,28
15024,Insult,15,20
15025,Insult,15,20
15026,Insult,51,57
15027,Insult,51,57
15028,Insult,51,57
15030,Insult,169,177
15030,Insult,182,188
15031,Insult,8,16
15031,Insult,169,177
15031,Insult,182,188
15034,Insult,70,74
15034,Insult,160,165
15036,Insult,102,108
15036,Insult,156,162
15037,Insult,156,162
15038,Insult,47,52
15039,Insult,47,52
15040,Insult,38,52
15042,Insult,10,19
15043,Insult,10,19
15046,Insult,104,108
15049,Insult,32,42
15051,Insult,52,58
15052,Insult,52,58
15053,Insult,5,9
15054,Insult,0,9
15055,Insult,5,9
15056,Insult,0,16
15058,Insult,5,16
15059,Insult,113,120
15062,Insult,28,34
15063,Insult,28,34
15064,Insult,28,34
15065,Insult,203,209
15065,Insult,475,480
15066,Insult,192,197
15066,Insult,475,480
15067,Insult,192,197
15068,Insult,39,63
15069,Insult,39,63
15070,Insult,58,63
15072,Identity based Attack,104,112
15073,Insult,99,103
15074,Insult,48,52
15075,Insult,48,52
15076,Insult,19,67
15077,Profane/Obscene,211,216
15078,Profane/Obscene,211,216
15079,Profane/Obscene,211,216
15080,Threat,0,21
15081,Insult,15,21
15081,Insult,48,54
15081,Other Toxicity,15,21
15081,Insult,0,6
15082,Insult,0,6
15082,Profane/Obscene,7,14
15082,Insult,15,21
15082,Insult,48,54
15083,Profane/Obscene,94,115
15083,Profane/Obscene,94,116
15084,Insult,94,100
15084,Insult,94,100
15085,Insult,94,116
15087,Identity based Attack,157,180
15088,Other Toxicity,0,19
15088,Identity based Attack,157,180
15089,Insult,13,20
15090,Profane/Obscene,13,20
15091,Insult,13,20
15092,Insult,46,53
15093,Insult,46,53
15094,Insult,46,61
15095,Insult,8,18
15096,Insult,0,18
15097,Insult,0,18
15099,Insult,0,32
15100,Insult,27,32
15101,Insult,120,126
15102,Insult,120,126
15105,Insult,78,84
15105,Insult,118,127
15105,Insult,167,176
15105,Insult,350,356
15105,Insult,271,277
15105,Insult,515,524
15105,Insult,561,570
15105,Insult,842,848
15105,Insult,785,794
15105,Insult,896,902
15105,Insult,979,985
15106,Insult,78,84
15106,Insult,561,570
15106,Insult,896,902
15106,Insult,785,794
15106,Insult,842,848
15107,Insult,227,234
15108,Insult,227,234
15109,Profane/Obscene,227,234
15110,Insult,8,13
15111,Insult,8,13
15112,Identity based Attack,38,47
15115,Threat,29,32
15117,Identity based Attack,29,190
15118,Identity based Attack,293,317
15119,Insult,74,78
15120,Profane/Obscene,74,78
15121,Profane/Obscene,69,78
15122,Insult,16,21
15123,Insult,16,21
15124,Insult,16,21
15126,Insult,15,21
15128,Insult,122,128
15129,Insult,122,128
15130,Insult,122,128
15133,Insult,12,16
15133,Insult,454,459
15135,Insult,8,13
15136,Insult,8,13
15137,Insult,7,13
15138,Insult,91,97
15141,Insult,43,48
15142,Other Toxicity,43,48
15143,Insult,14,21
15144,Insult,14,21
15145,Insult,14,21
15146,Insult,57,62
15147,Insult,57,62
15148,Insult,57,62
15150,Profane/Obscene,219,224
15151,Insult,586,595
15152,Insult,11,17
15153,Insult,11,17
15153,Insult,240,246
15153,Insult,492,498
15154,Insult,11,17
15155,Insult,28,33
15156,Profane/Obscene,28,41
15156,Insult,0,6
15157,Insult,0,6
15160,Insult,4,9
15160,Insult,14,20
15162,Insult,10,16
15163,Insult,10,16
15164,Insult,41,44
15165,Insult,23,27
15168,Insult,49,53
15169,Insult,49,53
15171,Insult,33,39
15172,Insult,0,70
15172,Insult,185,224
15175,Insult,47,65
15177,Insult,3,10
15178,Insult,321,331
15179,Identity based Attack,0,5
15181,Threat,0,5
15184,Other Toxicity,59,65
15184,Insult,291,297
15185,Insult,79,86
15186,Insult,79,86
15187,Insult,79,86
15188,Insult,51,60
15189,Insult,51,59
15190,Other Toxicity,51,60
15191,Other Toxicity,9,50
15194,Insult,28,33
15195,Insult,37,46
15196,Insult,37,46
15197,Threat,0,27
15198,Identity based Attack,16,23
15199,Insult,16,23
15200,Threat,509,515
15201,Insult,457,467
15203,Insult,22,26
15203,Insult,31,40
15203,Insult,48,58
15204,Insult,0,40
15204,Insult,43,86
15204,Threat,89,143
15205,Profane/Obscene,0,141
15206,Identity based Attack,24,30
15208,Insult,10,18
15209,Insult,69,74
15210,Insult,69,74
15211,Insult,69,74
15212,Insult,47,53
15213,Insult,47,53
15214,Insult,47,53
15215,Insult,10,25
15216,Profane/Obscene,19,25
15217,Identity based Attack,19,25
15219,Insult,37,42
15220,Insult,37,42
15223,Insult,130,139
15225,Profane/Obscene,613,617
15226,Insult,613,617
15227,Insult,32,37
15228,Insult,32,37
15229,Insult,32,37
15230,Insult,64,71
15231,Threat,0,90
15231,Insult,0,90
15234,Other Toxicity,198,205
15235,Insult,300,304
15237,Insult,118,125
15239,Insult,11,16
15240,Insult,11,16
15240,Insult,81,86
15241,Insult,11,16
15242,Insult,23,29
15242,Insult,125,132
15243,Insult,125,132
15244,Insult,23,29
15246,Insult,20,25
15247,Profane/Obscene,60,64
15247,Profane/Obscene,20,25
15248,Insult,301,309
15249,Insult,285,309
15250,Insult,301,309
15253,Other Toxicity,19,26
15254,Insult,84,92
15255,Insult,71,79
15255,Insult,84,92
15256,Insult,71,79
15258,Insult,302,306
15258,Insult,310,316
15258,Identity based Attack,180,192
15259,Insult,302,306
15259,Insult,310,316
15259,Insult,320,337
15259,Identity based Attack,154,164
15259,Identity based Attack,166,172
15260,Insult,8,12
15262,Profane/Obscene,8,12
15262,Profane/Obscene,24,28
15263,Insult,86,92
15264,Insult,8,13
15264,Insult,86,92
15265,Insult,8,13
15266,Insult,138,144
15268,Insult,138,144
15270,Threat,35,56
15271,Insult,302,309
15273,Identity based Attack,148,162
15274,Insult,152,162
15277,Profane/Obscene,243,273
15279,Insult,174,186
15279,Other Toxicity,156,172
15280,Insult,181,186
15281,Insult,303,310
15284,Threat,539,589
15285,Insult,16,21
15286,Insult,559,565
15287,Insult,5,13
15289,Insult,5,13
15290,Identity based Attack,345,352
15292,Insult,419,432
15294,Insult,31,38
15295,Profane/Obscene,31,38
15299,Insult,258,263
15300,Insult,258,263
15302,Insult,63,70
15303,Insult,4,10
15304,Insult,63,70
15306,Insult,183,192
15307,Insult,175,192
15309,Insult,82,99
15309,Insult,199,205
15310,Insult,87,92
15311,Insult,32,37
15312,Identity based Attack,0,37
15313,Other Toxicity,14,37
15315,Other Toxicity,22,31
15316,Insult,22,31
15317,Profane/Obscene,44,53
15318,Profane/Obscene,0,13
15318,Profane/Obscene,44,53
15318,Insult,108,116
15318,Profane/Obscene,136,149
15319,Insult,44,53
15320,Insult,11,16
15321,Insult,11,16
15322,Insult,11,16
15323,Insult,181,190
15324,Insult,646,650
15328,Insult,137,145
15329,Insult,65,69
15330,Identity based Attack,42,69
15331,Other Toxicity,13,23
15333,Insult,29,36
15334,Identity based Attack,29,36
15336,Insult,151,157
15336,Insult,159,166
15336,Insult,177,183
15337,Other Toxicity,307,316
15339,Insult,425,429
15342,Profane/Obscene,267,274
15342,Profane/Obscene,920,926
15342,Insult,981,990
15343,Insult,992,1000
15344,Insult,121,131
15345,Insult,121,131
15346,Insult,121,131
15349,Profane/Obscene,0,25
15349,Identity based Attack,32,146
15351,Insult,185,189
15354,Identity based Attack,17,55
15355,Insult,50,55
15356,Insult,107,112
15358,Insult,107,112
15361,Identity based Attack,18,25
15363,Profane/Obscene,37,53
15364,Insult,37,46
15365,Insult,11,26
15366,Insult,11,19
15367,Insult,11,19
15367,Profane/Obscene,20,26
15370,Insult,0,6
15371,Insult,41,46
15372,Threat,297,310
15373,Insult,203,211
15376,Insult,31,35
15376,Insult,5,19
15379,Insult,20,34
15383,Insult,0,208
15384,Insult,35,42
15386,Insult,11,17
15388,Insult,165,169
15391,Insult,7,11
15393,Insult,21,26
15394,Insult,21,26
15396,Insult,10,15
15396,Other Toxicity,20,28
15396,Insult,29,34
15397,Insult,10,15
15397,Insult,29,34
15397,Insult,20,28
15399,Insult,184,193
15400,Insult,184,193
15400,Insult,8,13
15401,Profane/Obscene,30,46
15401,Identity based Attack,0,27
15406,Insult,68,78
15409,Insult,389,397
15411,Insult,51,55
15412,Insult,51,55
15413,Insult,15,21
15414,Insult,15,21
15414,Identity based Attack,120,137
15415,Insult,0,36
15416,Insult,2,12
15417,Insult,3,18
15417,Insult,261,277
15417,Insult,0,72
15418,Insult,2,12
15418,Insult,13,18
15419,Insult,11,19
15420,Insult,11,19
15421,Insult,0,19
15424,Insult,302,310
15424,Insult,339,347
15427,Insult,410,418
15427,Identity based Attack,420,433
15428,Profane/Obscene,19,29
15429,Other Toxicity,14,24
15430,Identity based Attack,14,40
15431,Insult,335,341
15432,Insult,335,341
15434,Insult,72,76
15435,Insult,72,76
15436,Other Toxicity,68,76
15437,Insult,52,57
15438,Insult,52,57
15439,Insult,52,57
15440,Insult,97,102
15441,Insult,97,102
15442,Insult,67,70
15442,Profane/Obscene,71,76
15443,Insult,16,21
15447,Insult,123,129
15448,Insult,25,31
15448,Insult,123,129
15449,Identity based Attack,53,78
15450,Insult,69,78
15451,Insult,69,78
15453,Insult,128,134
15456,Insult,46,55
15457,Insult,46,55
15458,Identity based Attack,38,53
15459,Insult,46,53
15460,Insult,46,53
15461,Insult,0,22
15462,Insult,18,23
15463,Insult,18,23
15463,Other Toxicity,42,46
15465,Insult,25,31
15466,Insult,25,31
15467,Identity based Attack,5,21
15470,Insult,22,31
15471,Other Toxicity,14,31
15472,Insult,22,31
15475,Insult,5,7
15477,Insult,14,20
15478,Insult,14,20
15479,Insult,78,84
15480,Insult,78,84
15481,Insult,78,84
15483,Identity based Attack,74,81
15483,Other Toxicity,98,101
15483,Identity based Attack,185,194
15484,Insult,185,194
15485,Threat,20,41
15486,Profane/Obscene,20,41
15487,Insult,0,8
15487,Threat,20,41
15489,Other Toxicity,37,42
15492,Insult,41,46
15493,Profane/Obscene,305,310
15493,Insult,93,98
15494,Insult,4,9
15495,Insult,4,9
15496,Insult,4,9
15497,Insult,11,15
15499,Profane/Obscene,11,15
15499,Insult,90,104
15501,Insult,28,38
15503,Insult,115,124
15504,Threat,22,30
15505,Insult,101,108
15505,Insult,115,124
15508,Insult,14,19
15508,Insult,64,69
15508,Insult,85,90
15510,Insult,55,61
15511,Insult,55,61
15512,Insult,29,35
15512,Insult,6,12
15513,Insult,6,12
15514,Insult,6,12
15514,Insult,29,35
15515,Insult,0,6
15515,Identity based Attack,87,93
15517,Insult,0,6
15519,Insult,164,174
15520,Other Toxicity,28,37
15520,Insult,60,70
15520,Insult,102,107
15520,Insult,164,174
15521,Insult,0,7
15522,Insult,0,7
15523,Insult,0,7
15524,Profane/Obscene,57,67
15525,Insult,127,136
15526,Other Toxicity,0,134
15529,Insult,13,28
15531,Profane/Obscene,148,151
15534,Insult,67,72
15535,Insult,22,28
15537,Other Toxicity,144,148
15538,Insult,144,155
15539,Profane/Obscene,0,8
15541,Other Toxicity,163,186
15542,Insult,27,31
15542,Insult,33,37
15543,Insult,27,31
15543,Insult,33,37
15544,Insult,27,31
15544,Insult,33,37
15545,Threat,50,74
15546,Other Toxicity,38,74
15548,Insult,16,25
15549,Insult,16,25
15550,Insult,16,25
15551,Insult,18,24
15552,Insult,18,24
15553,Insult,18,24
15554,Insult,7,11
15555,Threat,7,11
15556,Insult,7,11
15558,Insult,27,33
15559,Insult,27,33
15559,Insult,528,534
15561,Insult,71,77
15562,Insult,71,77
15563,Insult,54,58
15564,Insult,54,58
15565,Insult,49,58
15566,Threat,5,24
15571,Insult,187,197
15573,Profane/Obscene,33,40
15574,Insult,50,56
15575,Insult,141,160
15577,Identity based Attack,0,199
15578,Identity based Attack,36,40
15579,Insult,10,14
15580,Insult,10,14
15580,Profane/Obscene,49,52
15583,Insult,89,95
15583,Insult,145,151
15584,Insult,58,64
15586,Insult,41,64
15590,Threat,0,297
15592,Insult,185,195
15593,Insult,170,179
15594,Insult,150,156
15595,Insult,100,106
15595,Insult,170,179
15595,Insult,892,901
15596,Insult,67,72
15597,Insult,67,72
15598,Insult,67,72
15604,Insult,82,86
15604,Profane/Obscene,82,86
15606,Profane/Obscene,114,118
15607,Profane/Obscene,114,118
15608,Insult,10,14
15610,Insult,393,398
15612,Insult,154,159
15613,Insult,141,159
15615,Identity based Attack,31,67
15616,Insult,31,38
15616,Insult,40,46
15616,Insult,48,57
15618,Other Toxicity,0,70
15619,Insult,65,70
15623,Insult,52,58
15624,Insult,52,58
15625,Insult,52,58
15626,Insult,21,29
15627,Insult,21,29
15628,Insult,21,29
15630,Insult,17,21
15634,Insult,35,43
15635,Other Toxicity,49,53
15636,Profane/Obscene,49,53
15637,Profane/Obscene,49,53
15638,Insult,9,19
15639,Other Toxicity,257,281
15640,Insult,261,267
15642,Insult,11,17
15643,Insult,11,17
15643,Other Toxicity,858,863
15645,Insult,0,9
15646,Insult,2,9
15647,Profane/Obscene,4,11
15648,Insult,4,11
15649,Insult,4,11
15650,Insult,113,119
15652,Insult,128,138
15653,Profane/Obscene,80,84
15655,Insult,80,89
15657,Insult,81,87
15658,Insult,81,87
15661,Insult,132,142
15662,Insult,182,194
15665,Insult,85,92
15667,Insult,85,92
15668,Insult,15,23
15669,Insult,14,22
15670,Other Toxicity,15,23
15671,Profane/Obscene,33,46
15672,Insult,33,46
15672,Insult,47,55
15675,Insult,22,26
15676,Insult,0,47
15677,Insult,33,39
15678,Insult,33,39
15679,Insult,33,39
15680,Insult,162,171
15680,Insult,176,185
15682,Insult,162,171
15682,Insult,176,185
15683,Insult,142,148
15684,Insult,142,148
15685,Identity based Attack,0,509
15687,Insult,25,32
15688,Threat,9,15
15688,Threat,25,32
15690,Insult,8,13
15691,Insult,8,13
15693,Insult,9,14
15694,Insult,9,14
15695,Insult,47,52
15695,Insult,61,68
15695,Insult,23,32
15696,Insult,39,83
15697,Insult,47,52
15698,Insult,30,42
15699,Profane/Obscene,30,42
15701,Insult,70,76
15702,Insult,70,76
15703,Insult,70,76
15705,Insult,56,61
15706,Insult,56,61
15708,Insult,135,141
15711,Insult,4,9
15712,Insult,4,9
15713,Insult,13,18
15714,Insult,13,18
15715,Insult,13,18
15716,Insult,166,170
15717,Identity based Attack,54,61
15718,Insult,54,61
15721,Insult,21,25
15721,Insult,70,78
15722,Profane/Obscene,53,57
15724,Insult,53,57
15727,Insult,33,39
15727,Insult,51,57
15728,Insult,118,124
15729,Threat,118,124
15729,Other Toxicity,118,124
15730,Insult,0,124
15733,Insult,203,211
15735,Profane/Obscene,40,47
15736,Identity based Attack,0,17
15738,Insult,269,275
15738,Identity based Attack,0,20
15739,Insult,23,92
15739,Identity based Attack,4,20
15739,Insult,127,150
15743,Insult,27,33
15745,Insult,27,33
15745,Insult,517,534
15746,Insult,18,26
15747,Profane/Obscene,18,26
15748,Insult,18,26
15750,Other Toxicity,0,15
15753,Insult,10,19
15754,Insult,10,19
15755,Insult,15,21
15757,Insult,9,21
15758,Identity based Attack,40,48
15759,Insult,21,27
15759,Insult,31,36
15759,Insult,255,265
15759,Insult,111,114
15760,Insult,21,27
15761,Insult,32,38
15763,Identity based Attack,32,38
15764,Profane/Obscene,9,22
15765,Insult,9,22
15766,Insult,0,22
15768,Insult,279,285
15768,Insult,343,348
15769,Insult,279,285
15771,Insult,84,90
15772,Insult,84,90
15773,Insult,0,4
15775,Other Toxicity,0,4
15777,Insult,95,100
15780,Insult,28,33
15781,Profane/Obscene,28,33
15782,Insult,0,47
15783,Insult,4,11
15784,Insult,0,11
15785,Insult,16,20
15788,Identity based Attack,0,8
15789,Identity based Attack,0,44
15791,Insult,7,14
15792,Insult,7,14
15793,Insult,7,14
15796,Insult,276,284
15797,Insult,45,50
15798,Insult,45,50
15799,Insult,45,50
15800,Insult,108,114
15801,Insult,108,121
15801,Identity based Attack,0,107
15802,Insult,108,114
15803,Identity based Attack,15,21
15804,Identity based Attack,125,129
15805,Identity based Attack,7,29
15805,Insult,93,119
15805,Threat,120,143
15806,Insult,124,130
15807,Insult,124,130
15807,Insult,34,37
15808,Insult,124,130
15809,Insult,0,5
15810,Insult,0,5
15811,Insult,0,5
15812,Identity based Attack,51,65
15814,Insult,30,39
15814,Insult,102,110
15815,Insult,195,201
15819,Insult,25,31
15820,Insult,25,31
15821,Insult,104,110
15822,Insult,104,110
15823,Insult,104,110
15825,Profane/Obscene,128,132
15828,Insult,22,26
15829,Insult,22,26
15831,Insult,11,17
15834,Identity based Attack,57,69
15835,Threat,13,18
15835,Insult,57,69
15837,Insult,78,84
15838,Insult,78,84
15840,Insult,83,89
15841,Insult,83,89
15843,Insult,41,51
15844,Insult,41,51
15845,Insult,113,125
15846,Insult,119,125
15847,Insult,119,125
15848,Profane/Obscene,147,155
15848,Profane/Obscene,156,162
15849,Insult,96,102
15849,Insult,147,155
15849,Insult,156,162
15850,Insult,96,102
15851,Threat,1,10
15852,Other Toxicity,1,14
15852,Other Toxicity,64,77
15853,Threat,1,5
15853,Threat,64,68
15856,Identity based Attack,44,68
15856,Threat,44,68
15858,Other Toxicity,0,196
15859,Insult,176,182
15860,Insult,675,684
15861,Insult,33,39
15863,Insult,19,25
15864,Insult,19,25
15867,Insult,157,163
15868,Insult,157,163
15869,Insult,67,74
15870,Insult,60,74
15871,Insult,67,74
15874,Profane/Obscene,72,80
15877,Insult,194,203
15878,Insult,24,30
15878,Insult,86,92
15880,Insult,24,30
15880,Insult,86,96
15882,Profane/Obscene,134,138
15883,Insult,115,148
15884,Identity based Attack,17,25
15885,Other Toxicity,67,71
15886,Insult,17,25
15886,Profane/Obscene,67,71
15886,Profane/Obscene,61,64
15887,Insult,299,308
15888,Insult,202,208
15889,Insult,202,208
15892,Profane/Obscene,72,76
15892,Identity based Attack,77,90
15893,Profane/Obscene,4,9
15894,Insult,291,299
15894,Insult,633,641
15894,Insult,4,9
15894,Other Toxicity,4,9
15895,Insult,4,9
15897,Insult,252,259
15898,Insult,26,30
15898,Insult,318,322
15900,Insult,481,487
15902,Identity based Attack,136,147
15904,Identity based Attack,12,18
15905,Insult,63,66
15905,Profane/Obscene,63,66
15906,Profane/Obscene,63,66
15909,Insult,42,47
15912,Insult,11,19
15913,Insult,23,33
15914,Insult,0,5
15915,Insult,0,5
15916,Insult,0,5
15917,Insult,19,23
15918,Insult,19,23
15919,Insult,19,23
15920,Insult,47,52
15921,Insult,47,52
15923,Insult,21,27
15924,Insult,21,39
15925,Insult,21,27
15927,Profane/Obscene,7,14
15927,Insult,15,23
15928,Profane/Obscene,7,14
15930,Insult,153,160
15931,Other Toxicity,220,227
15932,Profane/Obscene,8,14
15932,Insult,44,50
15933,Insult,8,14
15933,Insult,44,50
15934,Insult,8,14
15934,Insult,44,50
15935,Insult,14,19
15937,Insult,14,18
15940,Other Toxicity,39,49
15940,Insult,417,446
15941,Insult,10,16
15942,Identity based Attack,10,25
15943,Insult,10,16
15944,Other Toxicity,64,72
15945,Insult,64,72
15948,Insult,11,26
15949,Insult,19,26
15949,Insult,34,41
15950,Insult,0,6
15951,Insult,0,6
15952,Insult,0,6
15955,Profane/Obscene,12,16
15956,Insult,270,275
15957,Insult,221,227
15958,Insult,50,55
15959,Insult,9,22
15960,Insult,15,22
15960,Insult,186,193
15960,Insult,175,181
15960,Insult,9,14
15961,Insult,0,29
15962,Insult,78,83
15963,Insult,0,4
15964,Insult,60,65
15966,Insult,8,13
15967,Profane/Obscene,0,13
15968,Insult,33,37
15969,Insult,33,37
15971,Insult,7,15
15972,Insult,0,14
15973,Other Toxicity,7,15
15974,Other Toxicity,99,105
15975,Insult,99,105
15976,Other Toxicity,99,105
15978,Insult,53,58
15979,Insult,53,58
15980,Insult,38,43
15981,Insult,38,43
15982,Insult,38,43
15984,Insult,108,112
15986,Profane/Obscene,1,53
15987,Insult,47,53
15988,Insult,47,53
15991,Threat,191,232
15991,Threat,156,174
15991,Insult,182,189
15992,Profane/Obscene,0,4
15994,Insult,0,10
15995,Insult,53,77
15996,Insult,57,63
15997,Insult,57,63
15999,Insult,18,25
16000,Insult,18,25
16005,Insult,39,44
16008,Insult,201,209
16009,Other Toxicity,148,157
16010,Threat,0,16
16011,Insult,7,11
16012,Insult,205,209
16013,Insult,4,9
16014,Insult,4,9
16015,Insult,4,9
16017,Insult,12,20
16018,Insult,12,20
16021,Insult,29,38
16022,Insult,17,22
16023,Insult,17,22
16024,Insult,17,22
16026,Insult,81,85
16027,Insult,19,22
16028,Insult,4,11
16029,Insult,4,11
16030,Insult,4,11
16031,Insult,303,309
16032,Insult,303,309
16033,Insult,303,309
16036,Other Toxicity,10,27
16037,Insult,12,17
16038,Profane/Obscene,38,42
16039,Profane/Obscene,38,45
16040,Insult,185,192
16041,Profane/Obscene,185,192
16042,Insult,20,26
16042,Insult,81,85
16042,Insult,185,192
16044,Insult,8,14
16046,Other Toxicity,34,39
16047,Insult,20,39
16048,Insult,20,39
16050,Insult,128,134
16051,Identity based Attack,120,134
16052,Insult,15,20
16052,Insult,21,27
16053,Insult,15,20
16054,Insult,15,20
16055,Identity based Attack,158,175
16057,Other Toxicity,73,146
16058,Insult,19,24
16059,Insult,19,24
16060,Insult,19,24
16061,Insult,74,84
16062,Insult,77,84
16063,Insult,48,84
16064,Insult,92,99
16073,Profane/Obscene,4,8
16073,Profane/Obscene,11,14
16074,Insult,0,14
16074,Insult,106,119
16074,Identity based Attack,199,205
16075,Insult,0,15
16075,Insult,341,361
16076,Insult,9,13
16077,Insult,9,13
16078,Insult,9,13
16079,Insult,206,215
16080,Insult,206,215
16081,Identity based Attack,81,94
16081,Identity based Attack,196,200
16081,Insult,206,215
16083,Insult,91,99
16086,Insult,0,10
16087,Insult,0,10
16088,Insult,29,34
16089,Insult,29,34
16090,Insult,29,34
16093,Insult,265,278
16098,Profane/Obscene,41,45
16098,Profane/Obscene,78,82
16099,Insult,33,45
16099,Insult,78,85
16100,Insult,214,218
16102,Insult,214,218
16103,Insult,153,157
16105,Profane/Obscene,153,160
16105,Insult,218,225
16106,Profane/Obscene,13,17
16107,Insult,192,236
16108,Profane/Obscene,13,17
16108,Identity based Attack,103,111
16108,Insult,227,236
16109,Insult,23,30
16110,Insult,23,30
16113,Identity based Attack,119,141
